plotId,ifn,province,municipality,latWGS84,lngWGS84,dataCapture,plotifn3Id,plotIri,plotifn3Iri
"47-628","ifn2","Valladolid","Pedraja de Portillo, La",41.492156,-4.702329,1992,"47-628-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-628","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-628-A-1"
"47-629","ifn2","Valladolid","Portillo",41.494355,-4.546652,1992,"47-629-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-629","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-629-A-1"
"47-630","ifn2","Valladolid","Portillo",41.494516,-4.534676,1992,"47-630-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-630","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-630-A-1"
"47-631","ifn2","Valladolid","Portillo",41.494675,-4.5227,1992,"47-631-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-631","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-631-A-1"
"47-639","ifn2","Valladolid","Portillo",41.485512,-4.534463,1992,"47-639-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-639","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-639-A-1"
"47-640","ifn2","Valladolid","Portillo",41.485671,-4.522489,1992,"47-640-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-640","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-640-A-1"
"47-641","ifn2","Valladolid","Valdestillas",41.473248,-4.761712,1992,"47-641-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-641","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-641-A-1"
"47-642","ifn2","Valladolid","Pedraja de Portillo, La",41.473431,-4.749742,1992,"47-642-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-642","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-642-A-1"
"47-645","ifn2","Valladolid","Pedraja de Portillo, La",41.473971,-4.713829,1992,"47-645-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-645","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-645-A-1"
"47-646","ifn2","Valladolid","Pedraja de Portillo, La",41.474149,-4.701858,1992,"47-646-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-646","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-646-A-1"
"47-647","ifn2","Valladolid","Pedraja de Portillo, La",41.474326,-4.689886,1992,"47-647-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-647","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-647-A-1"
"47-651","ifn2","Valladolid","Pedraja de Portillo, La",41.464427,-4.749499,1992,"47-651-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-651","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-651-A-1"
"47-654","ifn2","Valladolid","Pedraja de Portillo, La",41.464968,-4.713592,1992,"47-654-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-654","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-654-A-1"
